obj_key,состояние площадки,Площадь,Генпроектировщик,Генподрядчик,Кол-во рабочих,date_report
020-0710,"Свободна, передана",8067.83,8,5,92.0,2023.02.12
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.12
019-0675,"Свободна, передана",8844.0,26,18,139.0,2023.02.12
020-0709,"Свободна, не передана",6848.84,27,1,86.0,2023.02.12
020-0683,"Свободна, не передана",7515.86,27,1,34.0,2023.02.12
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.12
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.12
020-0711,"Свободна, передана",7265.0,28,19,27.0,2023.02.12
019-0594,Занята,17488.0,1,2,,2023.02.12
020-0156,Занята,13288.0,21,15,,2023.02.12
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.02.12
019-0674,Занята,9030.0,6,0,,2023.02.12
020-0157,Занята,7243.9,30,7,52.0,2023.02.12
017-0527,Занята,14784.0,8,5,,2023.02.12
023-0091,,17000.0,0,0,,2023.02.13
022-0170,"Свободна, передана",16402.54,1,2,338.0,2023.02.13
022-0526,Занята,18100.0,0,0,,2023.02.13
022-0527,Не передана,9850.0,0,0,,2023.02.13
022-0522,Не передана,13260.0,0,0,,2023.02.13
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.13
022-0525,Не передана,9900.0,0,0,,2023.02.13
022-0523,,27225.0,0,0,,2023.02.13
023-0093,,17000.0,0,0,,2023.02.13
023-0089,,7500.0,0,0,,2023.02.13
022-0524,Занята,6800.0,0,0,,2023.02.13
022-0528,Занята,12225.0,0,0,,2023.02.13
022-0354,Занята,20271.0,0,0,,2023.02.13
022-0176,Не передана,17000.0,4,0,,2023.02.13
020-0720,"Свободна, передана",20164.69,9,6,238.0,2023.02.13
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.13
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.13
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.13
019-0431,"Свободна, передана",19433.4,22,16,179.0,2023.02.13
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.13
020-0710,"Свободна, передана",8067.83,8,5,93.0,2023.02.13
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.13
019-0675,"Свободна, передана",8844.0,26,18,138.0,2023.02.13
020-0709,"Свободна, не передана",6848.84,27,1,91.0,2023.02.13
020-0683,"Свободна, не передана",7515.86,27,1,34.0,2023.02.13
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.13
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.13
020-0711,"Свободна, передана",7265.0,28,19,27.0,2023.02.13
019-0594,Занята,17488.0,1,2,,2023.02.13
020-0156,Занята,13288.0,21,15,,2023.02.13
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.02.13
019-0674,Занята,9030.0,6,0,,2023.02.13
020-0157,Занята,7243.9,30,7,52.0,2023.02.13
017-0527,Занята,14784.0,8,5,,2023.02.13
023-0091,,17000.0,0,0,,2023.02.14
022-0170,"Свободна, передана",16402.54,1,2,338.0,2023.02.14
022-0526,Занята,18100.0,0,0,,2023.02.14
022-0527,Не передана,9850.0,0,0,,2023.02.14
022-0522,Не передана,13260.0,0,0,,2023.02.14
022-0355,Не передана под снос (для объектов сноса),,1,2,,2023.02.14
022-0525,Не передана,9900.0,0,0,,2023.02.14
022-0523,,27225.0,0,0,,2023.02.14
023-0093,,17000.0,0,0,,2023.02.14
023-0089,,7500.0,0,0,,2023.02.14
022-0524,Занята,6800.0,0,0,,2023.02.14
022-0528,Занята,12225.0,0,0,,2023.02.14
022-0354,Занята,20271.0,0,0,,2023.02.14
022-0176,Не передана,17000.0,4,0,,2023.02.14
020-0720,"Свободна, передана",20164.69,9,6,238.0,2023.02.14
019-0429,"Свободна, передана",11410.0,11,7,79.0,2023.02.14
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.14
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.14
019-0431,"Свободна, передана",19433.4,22,16,179.0,2023.02.14
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.14
020-0710,"Свободна, передана",8067.83,8,5,93.0,2023.02.14
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.14
019-0675,"Свободна, передана",8844.0,26,18,138.0,2023.02.14
020-0709,"Свободна, не передана",6848.84,27,1,91.0,2023.02.14
020-0683,"Свободна, не передана",7515.86,27,1,34.0,2023.02.14
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.14
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.14
020-0711,"Свободна, передана",7265.0,28,19,27.0,2023.02.14
019-0594,Занята,17488.0,1,2,,2023.02.14
020-0156,Занята,13288.0,21,15,,2023.02.14
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.02.14
019-0674,Занята,9030.0,6,0,,2023.02.14
020-0157,Занята,7243.9,30,7,52.0,2023.02.14
017-0527,Занята,14784.0,8,5,,2023.02.14
023-0091,,17000.0,0,0,,2023.02.15
022-0170,"Свободна, передана",16402.54,1,2,279.0,2023.02.15
022-0526,Занята,18100.0,0,0,,2023.02.15
022-0527,Не передана,9850.0,0,0,,2023.02.15
022-0522,Не передана,13260.0,0,0,,2023.02.15
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.02.15
022-0525,Не передана,9900.0,0,0,,2023.02.15
022-0523,,27225.0,0,0,,2023.02.15
023-0093,,17000.0,0,0,,2023.02.15
023-0089,,7500.0,0,0,,2023.02.15
022-0524,Занята,6800.0,0,0,,2023.02.15
022-0528,Занята,12225.0,0,0,,2023.02.15
022-0354,Занята,20271.0,0,0,,2023.02.15
022-0176,Не передана,17000.0,4,0,,2023.02.15
020-0720,"Свободна, передана",20164.69,9,6,236.0,2023.02.15
019-0429,"Свободна, передана",11410.0,11,7,84.0,2023.02.15
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.15
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.15
019-0431,"Свободна, передана",19433.4,22,16,197.0,2023.02.15
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.15
020-0710,"Свободна, передана",8067.83,8,5,184.0,2023.02.15
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.15
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.02.15
020-0709,"Свободна, не передана",6848.84,27,1,97.0,2023.02.15
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.02.15
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.15
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.15
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.02.15
019-0594,Занята,17488.0,1,2,,2023.02.15
020-0156,Занята,13288.0,21,15,,2023.02.15
019-0676,"Свободна, не передана",6291.0,29,20,97.0,2023.02.15
019-0674,Занята,9030.0,6,0,,2023.02.15
020-0157,Занята,7243.9,30,7,53.0,2023.02.15
017-0527,Занята,14784.0,8,5,,2023.02.15
023-0091,,17000.0,0,0,,2023.02.16
022-0170,"Свободна, передана",16402.54,1,2,279.0,2023.02.16
022-0526,Занята,18100.0,0,0,,2023.02.16
022-0527,Не передана,9850.0,0,0,,2023.02.16
022-0522,Не передана,13260.0,0,0,,2023.02.16
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.02.16
022-0525,Не передана,9900.0,0,0,,2023.02.16
022-0523,,27225.0,0,0,,2023.02.16
023-0093,,17000.0,0,0,,2023.02.16
023-0089,,7500.0,0,0,,2023.02.16
022-0524,Занята,6800.0,0,0,,2023.02.16
022-0528,Занята,12225.0,0,0,,2023.02.16
022-0354,Занята,20271.0,0,0,,2023.02.16
022-0176,Не передана,17000.0,4,0,,2023.02.16
020-0720,"Свободна, передана",20164.69,9,6,236.0,2023.02.16
019-0429,"Свободна, передана",11410.0,11,7,84.0,2023.02.16
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.16
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.16
019-0431,"Свободна, передана",19433.4,22,16,197.0,2023.02.16
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.16
020-0710,"Свободна, передана",8067.83,8,5,184.0,2023.02.16
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.16
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.02.16
020-0709,"Свободна, не передана",6848.84,27,1,97.0,2023.02.16
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.02.16
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.16
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.16
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.02.16
019-0594,Занята,17488.0,1,2,,2023.02.16
020-0156,Занята,13288.0,21,15,,2023.02.16
019-0676,"Свободна, не передана",6291.0,29,20,97.0,2023.02.16
019-0674,Занята,9030.0,6,0,,2023.02.16
020-0157,Занята,7243.9,30,7,53.0,2023.02.16
017-0527,Занята,14784.0,8,5,,2023.02.16
023-0091,,17000.0,0,0,,2023.02.17
022-0170,"Свободна, передана",16402.54,1,2,279.0,2023.02.17
022-0526,Занята,18100.0,0,0,,2023.02.17
022-0527,Не передана,9850.0,0,0,,2023.02.17
022-0522,Не передана,13260.0,0,0,,2023.02.17
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.02.17
022-0525,Не передана,9900.0,0,0,,2023.02.17
022-0523,,27225.0,0,0,,2023.02.17
023-0093,,17000.0,0,0,,2023.02.17
023-0089,,7500.0,0,0,,2023.02.17
022-0524,Занята,6800.0,0,0,,2023.02.17
022-0528,Занята,12225.0,0,0,,2023.02.17
022-0354,Занята,20271.0,0,0,,2023.02.17
022-0176,Не передана,17000.0,4,0,,2023.02.17
020-0720,"Свободна, передана",20164.69,9,6,236.0,2023.02.17
019-0429,"Свободна, передана",11410.0,11,7,84.0,2023.02.17
020-0155,"Свободна, не передана",16484.0,8,5,,2023.02.17
019-0428,"Свободна, передана",9067.1,12,4,42.0,2023.02.17
019-0431,"Свободна, передана",19433.4,22,16,197.0,2023.02.17
019-0430,"Свободна, не передана",16094.4,23,15,,2023.02.17
020-0710,"Свободна, передана",8067.83,8,5,184.0,2023.02.17
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.02.17
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.02.17
020-0709,"Свободна, не передана",6848.84,27,1,97.0,2023.02.17
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.02.17
021-0781,"Свободна, не передана",8226.4,2,0,,2023.02.17
021-0048,"Свободна, не передана",10320.0,6,0,,2023.02.17
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.02.17
019-0594,Занята,17488.0,1,2,,2023.02.17
020-0156,Занята,13288.0,21,15,,2023.02.17
019-0676,"Свободна, не передана",6291.0,29,20,97.0,2023.02.17
019-0674,Занята,9030.0,6,0,,2023.02.17
020-0157,Занята,7243.9,30,7,53.0,2023.02.17
017-0527,Занята,14784.0,8,5,,2023.02.17
023-0091,,17000.0,0,0,,2023.02.19
022-0170,"Свободна, передана",16402.54,1,2,279.0,2023.02.19
022-0526,Занята,18100.0,0,0,,2023.02.19
022-0527,Не передана,9850.0,0,0,,2023.02.19
022-0522,Не передана,13260.0,0,0,,2023.02.19
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.02.19
022-0525,Не передана,9900.0,0,0,,2023.02.19
022-0523,,27225.0,0,0,,2023.02.19
023-0093,,17000.0,0,0,,2023.02.19
023-0089,,7500.0,0,0,,2023.02.19
022-0524,Занята,6800.0,0,0,,2023.02.19
022-0528,Занята,12225.0,0,0,,2023.02.19
022-0354,Занята,20271.0,0,0,,2023.02.19
022-0176,Не передана,17000.0,4,0,,2023.02.19
